school,external-id,hatchet-code
Air Force,2005,AF
Akron,2006,AKRN
Alabama,333,BAMA
Appalachian State,2026,APP-ST
Arizona,12,AZ
Arizona State,9,ASU
Arkansas,8,ARK
Arkansas State,2032,AR-ST
Army,349,USMA
Auburn,2,AUB
Ball State,2050,BALL
Baylor,239,BAYL
Boise State,68,BOISE
Boston College,103,BC
Bowling Green,189,BGSU
Buffalo,2084,BUFF
BYU,252,BYU
California,25,CAL
Central Michigan,2117,C-MICH
Charlotte,2429,CLT
Cincinnati,2132,CINCI
Clemson,228,CLEM
Coastal Carolina,324,COASTAL
Colorado,38,COLO
Colorado State,36,CSU
Connecticut,41,UCONN
Duke,150,DUKE
East Carolina,151,ECU
Eastern Michigan,2199,E-MICH
Florida,57,UF
Florida Atlantic,2226,FAU
Florida International,2229,FIU
Florida State,52,FSU
Fresno State,278,FRESNO
Georgia,61,UGA
Georgia Southern,290,GA-SO
Georgia State,2247,GA-ST
Georgia Tech,59,GT
Hawai'i,62,HAWAII
Houston,248,UH
Illinois,356,ILL
Indiana,84,IU
Iowa,2294,IOWA
Iowa State,66,IAST
Kansas,2305,KAN
Kansas State,2306,KSU
Kent State,2309,KENT
Kentucky,96,KENTUCKY
Liberty,2335,LIB
Louisiana,309,ULL
Louisiana Monroe,2433,ULM
Louisiana Tech,2348,LATEC
Louisville,97,LOU
LSU,99,LSU
Marshall,276,MARSH
Maryland,120,UMD
Memphis,235,MPHS
Miami,2390,MIA
Miami (OH),193,MIAOH
Michigan,130,MICH
Michigan State,127,MIST
Middle Tennessee,2393,MTSU
Minnesota,135,MINN
Mississippi State,344,MS-ST
Missouri,142,MIZZOU
Navy,2426,USNA
NC State,152,NCSU
Nebraska,158,NEB
Nevada,2440,NV
New Mexico,167,UNM
New Mexico State,166,NMST
North Carolina,153,UNC
Northern Illinois,2459,NIU
North Texas,249,UNTX
Northwestern,77,NWST
Notre Dame,87,ND
Ohio,195,OHIO
Ohio State,194,OHST
Oklahoma,201,OKLA
Oklahoma State,197,OKST
Old Dominion,295,ODU
Ole Miss,145,MISS
Oregon,2483,ORE
Oregon State,204,OR-ST
Penn State,213,PSU
Pittsburgh,221,PITT
Purdue,2509,PUR
Rice,242,RICE
Rutgers,164,RUT
San Diego State,21,SDSU
San José State,23,SJSU
SMU,2567,SMU
South Alabama,6,SO-AL
South Carolina,2579,SCAR
Southern Mississippi,2572,SOMS
South Florida,58,USF
Stanford,24,STAN
Syracuse,183,SYR
TCU,2628,TCU
Temple,218,TEMPLE
Tennessee,2633,TENN
Texas,251,TEX
Texas A&M,245,TAMU
Texas State,326,TX-ST
Texas Tech,2641,TXTEC
Toledo,2649,TOL
Troy,2653,TROY
Tulane,2655,TULN
Tulsa,202,TLSA
UAB,5,UAB
UCF,2116,UCF
UCLA,26,UCLA
UMass,113,UMASS
UNLV,2439,UNLV
USC,30,USC
Utah,254,UTAH
Utah State,328,UT-ST
UTEP,2638,UTEP
UT San Antonio,2636,UTSA
Vanderbilt,238,VANDY
Virginia,258,UVA
Virginia Tech,259,VT
Wake Forest,154,WF
Washington,264,WASH
Washington State,265,WASH-ST
Western Kentucky,98,WKY
Western Michigan,2711,W-MICH
West Virginia,277,WVU
Wisconsin,275,WIS
Wyoming,2751,WYO
