,G,Date,Time,Day,School,LocType,Opponent,Conf,,Pts,Opp,W,L,Streak,TV,Notes
0,1,Aug 31 2019,12:00 PM,Sat,(2) Alabama,N,Duke,ACC,W,42,3,1,0,W 1,,
1,2,Sep 7 2019,4:00 PM,Sat,(2) Alabama,,New Mexico State,Ind,W,62,10,2,0,W 2,,
2,3,Sep 14 2019,3:30 PM,Sat,(2) Alabama,@,South Carolina,SEC,W,47,23,3,0,W 3,,
3,4,Sep 21 2019,12:00 PM,Sat,(2) Alabama,,Southern Mississippi,CUSA,W,49,7,4,0,W 4,,
4,5,Sep 28 2019,3:30 PM,Sat,(2) Alabama,,Ole Miss,SEC,W,59,31,5,0,W 5,,
5,6,Oct 12 2019,3:30 PM,Sat,(1) Alabama,@,(24) Texas A&M,SEC,W,47,28,6,0,W 6,,
6,7,Oct 19 2019,9:00 PM,Sat,(1) Alabama,,Tennessee,SEC,W,35,13,7,0,W 7,,
7,8,Oct 26 2019,7:00 PM,Sat,(1) Alabama,,Arkansas,SEC,,,,,,,,
8,9,Nov 9 2019,12:00 PM,Sat,(1) Alabama,,(2) LSU,SEC,,,,,,,,
9,10,Nov 16 2019,12:00 PM,Sat,(1) Alabama,@,Mississippi State,SEC,,,,,,,,
10,11,Nov 23 2019,12:00 PM,Sat,(1) Alabama,,Western Carolina,Non-Major,,,,,,,,
11,12,Nov 30 2019,12:00 PM,Sat,(1) Alabama,@,(9) Auburn,SEC,,,,,,,,
12,1,Aug 31 2019,7:30 PM,Sat,(6) LSU,,Georgia Southern,Sun Belt,W,55,3,1,0,W 1,,
13,2,Sep 7 2019,7:30 PM,Sat,(6) LSU,@,(9) Texas,Big 12,W,45,38,2,0,W 2,,
14,3,Sep 14 2019,7:30 PM,Sat,(4) LSU,,Northwestern State,Non-Major,W,65,14,3,0,W 3,,
15,4,Sep 21 2019,12:00 PM,Sat,(4) LSU,@,Vanderbilt,SEC,W,66,38,4,0,W 4,,
16,5,Oct 5 2019,12:00 PM,Sat,(5) LSU,,Utah State,MWC,W,42,6,5,0,W 5,,
17,6,Oct 12 2019,8:00 PM,Sat,(5) LSU,,(7) Florida,SEC,W,42,28,6,0,W 6,,
18,7,Oct 19 2019,3:30 PM,Sat,(2) LSU,@,Mississippi State,SEC,W,36,13,7,0,W 7,,
19,8,Oct 26 2019,3:30 PM,Sat,(2) LSU,,(9) Auburn,SEC,,,,,,,,
20,10,Nov 16 2019,12:00 PM,Sat,(2) LSU,@,Ole Miss,SEC,,,,,,,,
21,11,Nov 23 2019,12:00 PM,Sat,(2) LSU,,Arkansas,SEC,,,,,,,,
22,12,Nov 30 2019,12:00 PM,Sat,(2) LSU,,Texas A&M,SEC,,,,,,,,
23,1,Aug 31 2019,12:00 PM,Sat,(16) Auburn,N,(11) Oregon,Pac-12,W,27,21,1,0,W 1,,
