Date,Time,School,LocType,Opponent,Pts,Opp,Site
Aug 29 2019,8:00 PM,CLEM,,GT,52,14,
Sep 7 2019,3:30 PM,CLEM,,TAMU,24,10,
Sep 14 2019,7:30 PM,CLEM,@,SYR,41,6,
Sep 21 2019,7:30 PM,CLEM,,CLT,52,10,
Sep 28 2019,3:30 PM,CLEM,@,UNC,21,20,
Oct 12 2019,3:30 PM,CLEM,,FSU,45,14,
Oct 19 2019,12:00 PM,CLEM,@,LOU,,,
Oct 26 2019,1:00 PM,CLEM,,BC,,,
Nov 2 2019,1:00 PM,CLEM,,WOFF,,,
Nov 9 2019,12:00 PM,CLEM,@,NCSU,,,
Nov 16 2019,12:00 PM,CLEM,,WF,,,
Nov 30 2019,12:00 PM,CLEM,@,SCAR,,,
Sep 7 2019,2:00 PM,GT,,USF,14,10,
Sep 14 2019,12:30 PM,GT,,EL-CID,24,27,
Sep 28 2019,3:30 PM,GT,@,TEMPLE,2,24,
Oct 5 2019,4:00 PM,GT,,UNC,22,38,
Oct 12 2019,12:30 PM,GT,@,DUKE,23,41,
Oct 19 2019,12:00 PM,GT,@,MIA,,,
Nov 2 2019,1:00 PM,GT,,PITT,,,
Nov 9 2019,12:00 PM,GT,@,UVA,,,
Nov 16 2019,12:00 PM,GT,,VT,,,
Nov 21 2019,8:00 PM,GT,,NCSU,,,
Nov 30 2019,12:00 PM,GT,,UGA,,,
Aug 31 2019,4:00 PM,BC,,VT,35,28,
Sep 7 2019,3:30 PM,BC,,RICH,45,13,
Sep 13 2019,7:30 PM,BC,,KAN,24,48,
Sep 21 2019,12:00 PM,BC,@,RUT,30,16,
Sep 28 2019,3:30 PM,BC,,WF,24,27,
Oct 5 2019,12:30 PM,BC,@,LOU,39,41,
Oct 19 2019,12:00 PM,BC,,NCSU,,,
Oct 26 2019,1:00 PM,BC,@,CLEM,,,
Nov 2 2019,1:00 PM,BC,@,SYR,,,
Nov 9 2019,12:00 PM,BC,,FSU,,,
Nov 23 2019,2:30 PM,BC,@,ND,,,
Nov 30 2019,12:00 PM,BC,@,PITT,,,
Aug 31 2019,6:00 PM,SYR,@,LIB,24,0,
Sep 7 2019,12:00 PM,SYR,@,UMD,20,63,
Sep 14 2019,7:30 PM,SYR,,CLEM,6,41,
Sep 21 2019,12:00 PM,SYR,,W-MICH,52,33,
Sep 28 2019,12:00 PM,SYR,,HO-CRS,41,3,
Oct 10 2019,8:00 PM,SYR,@,NCSU,10,16,
Oct 18 2019,7:00 PM,SYR,,PITT,,,
Oct 26 2019,1:00 PM,SYR,@,FSU,,,
Nov 2 2019,1:00 PM,SYR,,BC,,,
Nov 16 2019,12:00 PM,SYR,@,DUKE,,,
Nov 23 2019,12:00 PM,SYR,@,LOU,,,
Nov 30 2019,12:00 PM,SYR,,WF,,,
Aug 31 2019,12:00 PM,NCSU,,ECU,34,6,
Sep 7 2019,12:30 PM,NCSU,,W-CAR,41,0,
Sep 14 2019,12:00 PM,NCSU,@,WVU,27,44,
Sep 21 2019,7:00 PM,NCSU,,BALL,34,23,
Sep 28 2019,7:30 PM,NCSU,@,FSU,13,31,
