Wk,Date,Rk,School,Prev,Chng,1st,Conf,This Week
10,2019-10-21,1,Alabama (7-0),1,,24,SEC (West),W 35-13 vs. Tennessee
10,2019-10-21,2,LSU (7-0),2,,16,SEC (West),W 36-13 vs. Mississippi State
10,2019-10-21,3,Ohio State (7-0),3,,13,Big Ten (East),W 52-3 vs. Northwestern
10,2019-10-21,4,Clemson (7-0),4,,9,ACC (Atlantic),W 45-10 vs. Louisville
10,2019-10-21,5,Oklahoma (7-0),5,,,Big 12,W 52-14 vs. West Virginia
10,2019-10-21,6,Penn State (7-0),6,,,Big Ten (East),W 28-21 vs. #19 Michigan
10,2019-10-21,7,Florida (7-1),7,,,SEC (East),W 38-27 vs. South Carolina
10,2019-10-21,8,Notre Dame (5-1),8,,,Ind,No game
10,2019-10-21,9,Auburn (6-1),9,,,SEC (West),W 51-10 vs. Arkansas
10,2019-10-21,10,Georgia (6-1),10,,,SEC (East),W 21-0 vs. Kentucky
10,2019-10-21,11,Oregon (6-1),11,,,Pac-12 (North),W 35-31 vs. Washington
10,2019-10-21,12,Utah (6-1),12,,,Pac-12 (South),W 21-3 vs. #24 Arizona State
10,2019-10-21,13,Wisconsin (6-1),13,,,Big Ten (West),L 23-24 vs. Illinois
10,2019-10-21,14,Baylor (7-0),14,,,Big 12,W 45-27 vs. Oklahoma State
10,2019-10-21,15,Texas (5-2),15,,,Big 12,W 50-48 vs. Kansas
10,2019-10-21,16,SMU (7-0),16,,,American (West),W 45-21 vs. Temple
10,2019-10-21,17,Minnesota (7-0),17,,,Big Ten (West),W 42-7 vs. Rutgers
10,2019-10-21,18,Cincinnati (6-1),18,,,American (East),W 24-13 vs. Tulsa
10,2019-10-21,19,Michigan (5-2),19,,,Big Ten (East),L 21-28 vs. #6 Penn State
10,2019-10-21,20,Iowa (5-2),20,,,Big Ten (West),W 26-20 vs. Purdue
10,2019-10-21,21,Appalachian State (6-0),21,,,Sun Belt (East),W 52-7 vs. Louisiana-Monroe
10,2019-10-21,22,Boise State (6-1),22,,,MWC (Mountain),L 25-28 vs. Brigham Young
10,2019-10-21,23,Iowa State (5-2),23,,,Big 12,W 34-24 vs. Texas Tech
10,2019-10-21,24,Arizona State (5-2),24,,,Pac-12 (South),L 3-21 vs. #12 Utah
10,2019-10-21,25,Wake Forest (6-1),25,,,ACC (Atlantic),W 22-20 vs. Florida State
9,2019-10-20,1,Alabama (7-0),1,,24,SEC (West),
9,2019-10-20,2,LSU (7-0),2,,16,SEC (West),
9,2019-10-20,3,Ohio State (7-0),4,1,13,Big Ten (East),
9,2019-10-20,4,Clemson (7-0),3,1,9,ACC (Atlantic),
9,2019-10-20,5,Oklahoma (7-0),5,,,Big 12,
9,2019-10-20,6,Penn State (7-0),7,1,,Big Ten (East),
9,2019-10-20,7,Florida (7-1),9,2,,SEC (East),
9,2019-10-20,8,Notre Dame (5-1),8,,,Ind,
9,2019-10-20,9,Auburn (6-1),11,2,,SEC (West),
9,2019-10-20,10,Georgia (6-1),10,,,SEC (East),
9,2019-10-20,11,Oregon (6-1),12,1,,Pac-12 (North),
9,2019-10-20,12,Utah (6-1),13,1,,Pac-12 (South),
9,2019-10-20,13,Wisconsin (6-1),6,7,,Big Ten (West),
9,2019-10-20,14,Baylor (7-0),18,4,,Big 12,
9,2019-10-20,15,Texas (5-2),15,,,Big 12,
9,2019-10-20,16,SMU (7-0),19,3,,American (West),
9,2019-10-20,17,Minnesota (7-0),20,3,,Big Ten (West),
9,2019-10-20,18,Cincinnati (6-1),21,3,,American (East),
9,2019-10-20,19,Michigan (5-2),16,3,,Big Ten (East),
9,2019-10-20,20,Iowa (5-2),23,3,,Big Ten (West),
9,2019-10-20,21,Appalachian State (6-0),24,3,,Sun Belt (East),
9,2019-10-20,22,Boise State (6-1),14,8,,MWC (Mountain),
9,2019-10-20,23,Iowa State (5-2),,,,Big 12,
9,2019-10-20,24,Arizona State (5-2),17,7,,Pac-12 (South),
9,2019-10-20,25,Wake Forest (6-1),,,,ACC (Atlantic),
8,2019-10-14,1,Alabama (6-0),1,,30,SEC (West),
8,2019-10-14,2,LSU (6-0),5,3,12,SEC (West),
8,2019-10-14,3,Clemson (6-0),2,1,11,ACC (Atlantic),
8,2019-10-14,4,Ohio State (6-0),3,1,9,Big Ten (East),
8,2019-10-14,5,Oklahoma (6-0),6,1,,Big 12,
8,2019-10-14,6,Wisconsin (6-0),8,2,,Big Ten (West),
8,2019-10-14,7,Penn State (6-0),10,3,,Big Ten (East),
8,2019-10-14,8,Notre Dame (5-1),9,1,,Ind,
8,2019-10-14,9,Florida (6-1),7,2,,SEC (East),
8,2019-10-14,10,Georgia (5-1),3,7,,SEC (East),
