team,date,network,rating,viewers
CLEM,1/9/17,ESPN,14.2,25.266
PSU,1/2/17,ESPN,8.6,15.74
OKLA,1/2/17,ESPN,5.6,9.515
UF,1/2/17,ABC,3.6,6.106
WIS,1/2/17,ESPN,3.1,5.442
BC,12/26/16,ESPN,,3.019
MS-ST,12/26/16,ESPN,,2.045
NCSU,12/26/16,ESPN,,1.27
MINN,12/27/16,ESPN,2.4,4.046
BAYL,12/27/16,ESPN,,2.282
WF,12/27/16,ESPN,,2.1
USMA,12/27/16,ESPN,,1.615
MIA,12/28/16,ESPN,2.5,4.252
KSU,12/28/16,ESPN,2.2,3.791
UTAH,12/28/16,FOX,1.6,2.628
NWST,12/28/16,ESPN,,2.425
VT,12/29/16,ESPN,2.9,4.963
OKST,12/29/16,ESPN,2.6,4.551
USF,12/29/16,ESPN,,2.308
FSU,12/30/16,ESPN,6.2,11.461
TENN,12/30/16,ESPN,3.1,5.026
UGA,12/30/16,ESPN,,3.128
STAN,12/30/16,CBS,1.9,2.926
BAMA,12/31/16,ESPN,10.7,19.344
CLEM,12/31/16,ESPN,9.8,19.237
LSU,12/31/16,ABC,3.9,6.39
GT,12/31/16,ESPN,1.6,2.647
TLSA,12/19/16,ESPN,,0.794
MPHS,12/20/16,ESPN,,1.581
BYU,12/21/16,ESPN,,2.38
IDAHO,12/22/16,ESPN,,1.143
OHIO,12/23/16,ESPN,,2.512
LATEC,12/23/16,ESPN,,2.341
ODU,12/23/16,ESPN,,1.371
MTSU,12/24/16,ESPN,0.7,1.359
UH,12/17/16,ABC,2.4,3.744
NC-CENT,12/17/16,ABC,1.8,2.711
APP-ST,12/17/16,ESPN,0.9,1.483
UNM,12/17/16,ESPN,0.9,1.391
ULL,12/17/16,ESPN,0.9,1.335
USMA,12/10/16,CBS,5,7.94
WASH,12/2/16,FOX,3.4,5.671
W-MICH,12/2/16,ESPN2,,1.358
BAMA,12/3/16,CBS,6.6,11.093
PSU,12/3/16,FOX,5.3,9.189
CLEM,12/3/16,ABC,3.3,5.338
OKLA,12/3/16,FOX,3.1,4.817
USNA,12/3/16,ABC,1.4,2.05
WVU,12/3/16,FS1,0.6,1.011
LATEC,12/3/16,ESPN,0.6,0.926
WYO,12/3/16,ESPN,0.4,0.713
KSU,12/3/16,FS1,0.3,0.431
TROY,12/3/16,ESPN2,0.2,0.269
AR-ST,12/3/16,ESPN2,0.15,0.228
GRAMB,12/3/16,ESPNU,,0.16
OHIO,11/22/16,ESPN,,0.277
LSU,11/24/16,ESPN,1.3,2.774
MICH,11/26/16,ABC,9.4,16.841
AUB,11/26/16,CBS,4.5,8.242
UF,11/26/16,ABC,3.6,6.437
ND,11/26/16,ABC,3.4,5.695
PSU,11/26/16,ESPN,2,3.715
UTAH,11/26/16,FOX,1.7,3.06
CLEM,11/26/16,ESPN,1.5,2.656
LOU,11/26/16,ESPN,0.9,1.564
WVU,11/26/16,FS1,0.3,0.594
CAL,11/26/16,ESPN2,0.4,0.579
DUKE,11/26/16,ESPN2,0.3,0.505
UVA,11/26/16,ESPN2,0.3,0.453
WYO,11/26/16,ESPN2,0.2,0.333
