conference,division,name,shortName,mascot,stadiumId,code
AAC,East,University of Cincinnati,Cincinnati,Bearcats,NIPPERT,CINCI
AAC,East,University of South Florida,South Florida,Bulls,RAYJAY,USF
AAC,East,University of Central Florida,Central Florida,Knights,SPECTRUM,UCF
AAC,East,Temple University,Temple,Owls,LINC,TEMPLE
AAC,East,East Carolina University,East Carolina,Pirates,DOWDY,ECU
AAC,East,University of Connecticut,UConn,Huskies,PRATT,UCONN
AAC,West,Southern Methodist University,Southern Methodist,Mustangs,GJF,SMU
AAC,West,Tulane,Tulane,Green Wave,YULMAN,TULN
AAC,West,US Naval Acadamy,Navy,Midshipmen,NAVY,USNA
AAC,West,University of Houston,Houston,Cougars,TDECU,UH
AAC,West,University of Tulsa,Tulsa,Golden Hurricane,SKELLY,TLSA
AAC,West,University of Memphis,Memphis,Tigers,LIB-BOWL,MPHS
ACC,Atlantic,Clemson University,Clemson,Tigers,DV,CLEM
ACC,Atlantic,Boston College,Boston College,Eagles,BC-ALUM,BC
ACC,Atlantic,Syracuse,Syracuse,Orange,CDOME,SYR
ACC,Atlantic,North Carolina State,NC State,Wolfpack,CRT-FIN,NCSU
ACC,Atlantic,Florida State University,Florida State,Seminoles,DOAK,FSU
ACC,Atlantic,Wake Forest,Wake,Deamon Deacons,BBT,WF
ACC,Atlantic,Louisville,Louisville,Cardinals,CARDINAL,LOU
ACC,Coastal,Georgia Tech,Georgia Tech,Yellow Jackets,BDODD,GT
ACC,Coastal,Virginia Tech,Virginia Tech,Hokies,LANE,VT
ACC,Coastal,University of Pittsburgh,Pittsburgh,Pathers,HEINZ,PITT
ACC,Coastal,University of Virginia,Virginia,Cavaliers,SCOTT,UVA
ACC,Coastal,Miami,Miami,Hurricanes,HROK,MIA
ACC,Coastal,Duke,Duke,Blue Devils,WWADE,DUKE
ACC,Coastal,University of North Carolina,North Carolina,Tar Heels,KENAN,UNC
BIG12,,University of Oklahoma,Oklahoma,Sooners,GAY,OKLA
BIG12,,West Virginia University,West Virginia,Mountaineers,MPS,WVU
BIG12,,Texas Christian University,Texas Christian,Horned Frogs,ACRTR,TCU
BIG12,,Baylor University,Baylor,Bears,MCLANE,BAYL
BIG12,,Texas Tech University,Texas Tech,Red Raiders,JNZ-ATT,TXTEC
BIG12,,Oklahoma State University,Oklahoma State,Cowboys,BOONE,OKST
BIG12,,Iowa State University,Iowa State,Cyclones,TRICE,IAST
BIG12,,University of Kansas,Kansas,Jayhawks,BOOTH,KAN
BIG12,,Kansas State University,Kansas State,Wildcats,SNYDER,KSU
BIG12,,Texas University,Texas,Longhorns,DKR,TEX
BIG10,East,Ohio State University,Ohio State,Buckeyes,OHIO,OHST
BIG10,East,University of Michigan,Michigan,Wolverines,BIGHOUSE,MICH
BIG10,East,Michigan State University,Michigan State,Spartans,SPARTY,MIST
BIG10,East,Indiana University Bloomington,Indiana,Hoosiers,IU-MEM,IU
BIG10,East,Rutgers University,Rutgers,Scarlet Knights,SHI,RUT
BIG10,East,University of Maryland,Maryland,Terrapins,MARYLAND,UMD
BIG10,East,Pennsylvania State University,Penn State,Nittany Lions,BVR,PSU
BIG10,West,Northwestern University,Northwestern,Wildcats,RYAN,NWST
BIG10,West,University of Wisconsin,Wisconsin,Badgers,CMP-RNDL,WIS
BIG10,West,University of Minnesota,Minnesota,Golden Gophers,TCFB,MINN
BIG10,West,University of Iowa,Iowa,Hawkeyes,KNNCK,IOWA
BIG10,West,University of Illinois,Illinois,Illini,ILL-MEM,ILL
BIG10,West,Purdue,Purdue,Boilermakers,ROSS-ADE,PUR
BIG10,West,University of Nebraska,Nebraska,Cornhuskers,NEB-MEM,NEB
C-USA,East,Marshall,Marshall,Thundering Herd,JCE,MARSH
C-USA,East,Florida International University,Florida Int'l,Golden Panthers,SILVA,FIU
C-USA,East,Middle Tennessee State University,Middle Tennessee State,Blue Raiders,RED-FLOYD,MTSU
C-USA,East,University of North Carolina at Charlotte,Charlotte,49ers,JERRY-R,CLT
C-USA,East,Florida Atlantic University,Florida Atlantic,Owls,FAU,FAU
C-USA,East,Western Kentucky,Western Kentucky,Hilltoppers,LTSMITH,WKY
C-USA,East,Old Dominion University,Old Dominion,Monarchs,BALLARD,ODU
C-USA,West,Louisiana Tech University,Louisiana Tech,Bulldogs,AILLET,LATEC
C-USA,West,University of Alabama - Birmingham,UAB,Blazers,LEGION,UAB
C-USA,West,University of Southern Mississippi,Southern Mississippi,Golden Eagles,MMROB,SOMS
C-USA,West,University of Texas - San Antonio,Texas - San Antonio,Roadrunners,ALAMO,UTSA
C-USA,West,University of North Texas,North Texas,Mean Green,APOGEE,UNTX
C-USA,West,Rice University,Rice,Owls,RICE,RICE
C-USA,West,University of Texas - El Paso,Texas - El Paso,Miners,SUN-BOWL,UTEP
FBS-IND,,University of Notre Dame,Notre Dame,Fighting Irish,NOTRE-DAME,ND
FBS-IND,,United States Military Academy,Army,Knights,ARMY,USMA
