number,season,start_date,end_date
1,2019,2019-08-24,2019-09-02
2,2019,2019-09-03,2019-09-07
3,2019,2019-09-08,2019-09-14
4,2019,2019-09-15,2019-09-21
5,2019,2019-09-22,2019-09-28
6,2019,2019-09-29,2019-10-05
7,2019,2019-10-06,2019-10-12
8,2019,2019-10-13,2019-10-19
9,2019,2019-10-20,2019-10-26
10,2019,2019-10-27,2019-11-02
11,2019,2019-11-03,2019-11-09
12,2019,2019-11-10,2019-11-16
13,2019,2019-11-17,2019-11-23
14,2019,2019-11-24,2019-11-30
15,2019,2019-12-01,2019-12-14
16,2019,2019-12-15,2020-01-13
0,2018,2018-08-25,2018-08-29
1,2018,2018-08-30,2018-09-03
2,2018,2018-09-04,2018-09-08
3,2018,2018-09-09,2018-09-15
4,2018,2018-09-16,2018-09-22
5,2018,2018-09-23,2018-09-29
6,2018,2018-09-30,2018-10-06
7,2018,2018-10-07,2018-10-13
8,2018,2018-10-14,2018-10-20
9,2018,2018-10-21,2018-10-27
10,2018,2018-10-28,2018-11-03
11,2018,2018-11-04,2018-11-10
12,2018,2018-11-11,2018-11-17
13,2018,2018-11-18,2018-11-24
14,2018,2018-11-25,2018-12-01
15,2018,2018-12-02,2018-12-08
16,2018,2018-12-09,2019-01-07
0,2017,2017-08-26,2017-08-30
1,2017,2017-08-31,2017-09-04
2,2017,2017-09-05,2017-09-09
3,2017,2017-09-10,2017-09-16
4,2017,2017-09-17,2017-09-23
5,2017,2017-09-24,2017-09-30
6,2017,2017-10-01,2017-10-07
7,2017,2017-10-08,2017-10-14
8,2017,2017-10-15,2017-10-21
9,2017,2017-10-22,2017-10-28
10,2017,2017-10-29,2017-11-04
11,2017,2017-11-05,2017-11-11
12,2017,2017-11-12,2017-11-18
13,2017,2017-11-19,2017-11-25
14,2017,2017-11-26,2017-12-02
15,2017,2017-12-03,2017-12-09
16,2017,2017-12-10,2018-01-08
0,2016,2016-08-26,2016-08-31
1,2016,2016-09-01,2016-09-05
2,2016,2016-09-06,2016-09-10
3,2016,2016-09-11,2016-09-17
4,2016,2016-09-18,2016-09-24
5,2016,2016-09-25,2016-10-01
6,2016,2016-10-02,2016-10-08
7,2016,2016-10-09,2016-10-15
8,2016,2016-10-16,2016-10-22
9,2016,2016-10-23,2016-10-29
10,2016,2016-10-30,2016-11-05
11,2016,2016-11-06,2016-11-12
12,2016,2016-11-13,2016-11-19
13,2016,2016-11-20,2016-11-26
14,2016,2016-11-27,2016-12-03
15,2016,2016-12-04,2016-12-10
16,2016,2016-12-11,2017-01-09
1,2015,2015-09-03,2015-09-07
2,2015,2015-09-08,2015-09-12
3,2015,2015-09-13,2015-09-19
4,2015,2015-09-20,2015-09-26
5,2015,2015-09-27,2015-10-03
6,2015,2015-10-04,2015-10-10
7,2015,2015-10-11,2015-10-17
8,2015,2015-10-18,2015-10-24
9,2015,2015-10-25,2015-10-31
10,2015,2015-11-01,2015-11-07
11,2015,2015-11-08,2015-11-14
12,2015,2015-11-15,2015-11-21
13,2015,2015-11-22,2015-11-28
14,2015,2015-11-29,2015-12-05
15,2015,2015-12-06,2015-12-12
16,2015,2015-12-13,2016-01-11
1,2014,2014-08-26,2014-09-01
2,2014,2014-09-02,2014-09-06
3,2014,2014-09-07,2014-09-13
4,2014,2014-09-14,2014-09-20
5,2014,2014-09-21,2014-09-27
6,2014,2014-09-28,2014-10-04
7,2014,2014-10-05,2014-10-11
8,2014,2014-10-12,2014-10-18
9,2014,2014-10-19,2014-10-25
10,2014,2014-10-26,2014-11-01
11,2014,2014-11-02,2014-11-08
12,2014,2014-11-09,2014-11-15
13,2014,2014-11-16,2014-11-22
14,2014,2014-11-23,2014-11-29
15,2014,2014-11-30,2014-12-06
16,2014,2014-12-07,2014-12-13
17,2014,2014-12-14,2015-01-12
1,2013,2013-08-29,2013-09-02
2,2013,2013-09-03,2013-09-07
3,2013,2013-09-08,2013-09-14
4,2013,2013-09-15,2013-09-21
5,2013,2013-09-22,2013-09-28
6,2013,2013-09-29,2013-10-05
7,2013,2013-10-06,2013-10-12
8,2013,2013-10-13,2012-10-19
9,2013,2013-10-20,2013-10-26
10,2013,2013-10-27,2013-11-02
11,2013,2013-11-03,2013-11-09
12,2013,2013-11-10,2013-11-16
13,2013,2013-11-17,2013-11-23
14,2013,2013-11-24,2013-11-30
15,2013,2013-12-01,2013-12-07
16,2013,2013-12-08,2013-12-14
17,2013,2013-12-15,2014-01-06
